,Matricule,Nom Commercial,Sexe,Date naissance,Téléphone,email,Date recrutement,Salaire de base (euro),@dropdown
MARRAKECH,M002,GAJJA Meryem,F,09/08/1991,0698745634,GAJJA.Meryem@gmail.com,01/01/2020,"5100,00",
MARRAKECH,M003,BOUNIT Aya,F,08/05/1987,0652170506,BOUNIT.Aya@gmail.com,01/01/2016,"5100,00",
MARRAKECH,M004,CHIHAB Nesrine,F,10/05/1984,0630201040,CHIHAB.Nesrine@gmail.com,01/06/2016,"5100,00",
MARRAKECH,M005,ELBoudani Farah,F,12/01/1987,0758916203,ELBoudani.Farah@gmail.com,01/03/2018,"5100,00",
MARRAKECH,M006,KHAY Mohamed,M,05/10/1984,0762149301,KHAY.Mohamed@gmail.com,01/06/2019,"5100,00",
MARRAKECH,M007,OUALLA Naima,F,05/01/1980,0751485963,OUALLA.Naima@gmail.com,01/01/2020,"5100,00",
MARRAKECH,M008,MOULAY Samira,F,01/01/1981,0752168921,MOULAY.Samira@gmail.com,01/01/2020,"5100,00",
MARRAKECH,M009,ZBAIR Oumaima,F,10/03/1990,0756123087,ZBAIR.Oumaima@gmail.com,01/01/2016,"5100,00",
MARRAKECH,M010,IDAL Hayat,F,01/09/1995,0763198763,IDAL.Hayat@gmail.com,01/06/2016,"5100,00",
MARRAKECH,M011,Derkon Jamal,M,05/08/1996,0765098137,Derkon.Jamal@gmail.com,01/03/2018,"5100,00",
MARRAKECH,M012,Wahbi Laila,F,19/11/1997,0671986232,Wahbi.Laila@gmail.com,01/06/2019,"5100,00",
RABAT,R001,Merouani Aya,F,10/11/1985,0632145698,Merouani.Aya@gmail.com,01/01/2016,"5400,00",
RABAT,R002,Fezazi Asmae,F,05/08/1980,0652147845,Fezazi.Asmae@gmail.com,01/06/2016,"5400,00",
RABAT,R003,Kerroum Maroua,F,05/12/1992,0656564512,Kerroum.Maroua@gmail.com,01/03/2018,"5400,00",
RABAT,R004,Filali Achraf,M,10/10/1984,0656452189,Filali.Achraf@gmail.com,01/06/2019,"5400,00",
RABAT,R005,Zerhon Malika,F,15/02/1985,0641526396,Zerhon.Malika@gmail.com,01/01/2020,"5400,00",
RABAT,R006,Boulid Brahim,M,12/12/1986,0658749632,Boulid.Brahim@gmail.com,01/01/2020,"5400,00",
RABAT,R007,Saadan Mounia,F,23/12/1987,0614785963,Saadan.Mounia@gmail.com,01/01/2016,"5400,00",
RABAT,R008,Qezdan Salima,F,20/05/1988,0652147859,Qezdan.Salima@gmail.com,01/06/2016,"5400,00",
RABAT,R009,Fasil Mustapha,M,04/05/1979,0632145873,Fasil.Mustapha@gmail.com,01/03/2018,"5400,00",
RABAT,R010,Rabhi Kamal,M,19/06/1994,0653012010,Rabhi.Kamal@gmail.com,01/06/2019,"5400,00",
TANGER,T001,ENNASSIRI Kenza,F,26/10/1990,0670509764,ENNASSIRI.Kenza@gmail.com,01/03/2018,"4500,00",
TANGER,T002,AARAB Salim,M,01/01/1997,0745693218,AARAB.Salim@gmail.com,01/06/2019,"4500,00",
TANGER,T003,BALAHCEN Khalid,M,26/11/1991,0785964325,BALAHCEN.Khalid@gmail.com,01/01/2020,"4500,00",
TANGER,T004,TEKROUT Anas,M,01/01/1998,0654896715,TEKROUT.Anas@gmail.com,01/01/2020,"4500,00",
TANGER,T005,AKROUD MANAL,F,26/10/1991,0653519468,AKROUD.MANAL@gmail.com,01/01/2016,"4500,00",
TANGER,T006,ALETCHIM  HALIM,M,05/01/1998,0632598764,ALETCHIM..HALIM@gmail.com,01/06/2016,"4500,00",
TANGER,T007,AMANAY   YOUNESS,M,30/11/1992,0765269636,AMANAY...YOUNESS@gmail.com,01/03/2018,"4500,00",
TANGER,T008,AMSHL  MARIAM,F,23/01/1999,0636363985,AMSHL..MARIAM@gmail.com,01/06/2019,"4500,00",
TANGER,T009,CHIHAB Nesrine,F,26/05/1995,0615253518,AOURAGH..KENZA@gmail.com,01/01/2020,"4500,00",
TANGER,T010,ARHAL MOHAMED,M,01/01/1999,0684268426,ARHAL.MOHAMED@gmail.com,01/01/2020,"4500,00",
